id,PT_formal
858462320779026433,12
858421020331560960,3
858368123753435136,14
858323428260139008,7
858283602626347008,15
858224473597779969,5
858222698367000577,9
858191667739987968,11
858153572571197440,13
858150052782645249,6
858137811039465472,9
858070460814184448,12
858048368974733312,17
858033553468252160,13
858025529429065729,16
857977494275846144,7
857970008269496320,6
857924202548088832,13
857902233232527360,10
857883874663120898,10
857818691471380481,18
857681004047347713,15
857659646663962625,15
857647139127558144,9
857588031318110208,13
857587134491893761,6
857543708828467200,15
857542383784919040,5
857497306077302785,18
857478939240955904,11
857417141758435328,8
857416784953188352,13
857403369601761281,9
857402097976963075,16
857366516186173440,12
857320960063655936,9
857308307165466625,14
857297814954659845,4
857258494491332609,3
857258494168367104,13
857251677904228352,14
857247620938559491,9
857139702989824003,19
857068231936364544,2
857046844819558400,14
856986260447125505,3
856946762598277120,11
856942406339637249,10
856934629001056256,9
856928814936588289,14
856877249412378624,14
856780134199775232,9
856752936017416192,12
856693259988611072,20
856692779883388928,8
856681188328603650,8
856664601269850112,11
856621318791462912,7
856562464070094848,10
856492941795237888,9
856474402157887488,4
856458143248908288,12
856425253240786944,12
856369615852756994,8
856354300582297600,16
856311741474590720,9
856286072996864001,10
856232580991025153,2
856203524631384066,12
856199512880230405,16
856198484495482880,6
856161994419851265,9
856113335783313408,12
856112780960833536,11
856029381562683392,10
856026219007156225,18
856017796370747392,6
855965425993175040,6
855955661787627521,8
855921918540746756,11
855917932014186496,11
855913360151502850,9
855851740389937152,8
855795860751437824,11
855787287145263105,5
855743917584781312,9
855731167114481664,10
855730809969545216,7
855695165150949376,8
855622164359327744,8
855514887983955970,9
855496610448646146,11
855420780628238339,7
855315209161916417,13
855279932997595136,11
855247160689934336,18
855224570713956352,13
855206973264072704,13
855194637828542466,9
855113853948055552,13
855107177224302593,8
855078905975328768,11
855049665410203651,11
855043478895693825,11
855026403783344128,9
855011727418826756,11
854996420268613633,9
854938376671244289,10
854858902630006787,13
854832737949171712,10
854820706730639360,17
854811886390476802,13
854779678363660288,15
854741108252958720,12
854718233869299714,13
854700438788222976,12
854687470805495808,12
854671176152436736,13
854645776672272384,14
854519013061394434,12
854507607637336066,19
854461550744219649,19
854433102659178496,15
854404197437104129,12
854355274588729348,9
854351357716963329,13
854313819396616193,13
854305973355372545,10
854266073658667008,11
854128850493743105,16
854079792341286912,5
854070498405355521,14
854059820055396355,4
854045064816971776,9
853985186261938176,11
853963719394635776,6
853956333175017474,14
853946092416897025,12
853941114558173184,13
853888909222322176,12
853864357209530368,9
853851820007055360,7
853817799126523904,14
853786555370156032,9
853759983879630848,19
853732519107334144,14
853728852157366272,6
853691730075537408,4
853684418304716800,15
853643905732096000,7
853562476159488000,10
853533432827269121,12
853470753425149952,7
853362571017162752,13
853330354828136448,11
853330098308730881,10
853278564728397825,13
853246572741763072,10
853243919533973504,12
853219533888290816,11
853197600362823680,9
853152927199965184,12
853109381487091714,5
853104852708327425,14
853103591183204354,11
853087484896452610,6
853086284948148224,6
853056785166589952,7
853052639952678914,9
853021803572342784,8
853020066748784640,10
853010752311091201,8
853008749736472581,15
852964178717495298,11
852950082194481152,11
852935080930676737,10
852918130598961156,9
852903556562771976,12
852871602882715649,9
852858984050675713,12
852836331231236096,6
852790547190210561,10
852786843695194114,12
852778463182241792,8
852759743495938048,11
852751580432482305,11
852750021644517376,15
852695448284483584,17
852682839103590400,15
852669253014761473,12
852656449549463552,7
852625617434685440,15
852537721985937409,7
852534909407309824,8
852491578958647297,11
852453423790346241,13
852452049686024192,5
852428663312310272,14
852420105346719744,13
852416830459318272,8
852397952844926976,11
852385924440784896,14
852364699941449728,7
852364474636005376,15
852329500796997632,13
852320475778863105,12
852219838651039747,7
852218494280241153,9
852215995653423104,12
852212472186646530,10
852189739298029568,16
852177112282918912,13
852174992209055744,9
852151521001197569,11
852147225652322305,16
852144277304078338,9
852136180468592640,10
852126944292483073,13
852124904094916608,16
852084123606712320,11
851935419231031297,9
851902726413963265,15
851902346271629313,6
851889048637632512,7
851883998431371265,7
851872489143762945,12
851871293389537282,7
851849099821428738,2
851809321138737153,13
851784440720367616,19
851749917475393536,7
851680728169492482,9
851650776581775361,7
851520059675725824,11
851495716933570561,15
851460265627570180,9
851457249394294784,15
851406931382198272,9
851398869925728256,11
851367413518135298,5
851299466380554240,7
851290393987629057,12
851235280384339969,13
851211382251016192,15
851200387323506689,11
851173244291997696,9
851167838056394752,9
851167756934406145,11
851165067181670400,7
851147906279256064,9
851139800409284608,13
851133669163114496,10
851129588709289986,10
851122563522670592,12
851097393785450497,10
851049564408827906,7
851036973988954112,12
851011808882118659,7
850983375913529345,9
850964775823708162,12
850936563710218240,10
850909692721332224,0
850886241713303552,11
850865362484723712,10
850860665396797440,7
850840523111677952,7
850797676975271936,13
850758474191556608,10
850748146976268289,10
850747602090033152,8
850725197305065472,17
850724925564264450,10
850721881619648514,12
850691196322230273,17
850661879965929473,8
850650991192145920,8
850634403810299904,8
850498449816637440,16
850407073561051137,7
850360041953689600,8
850337630294343680,5
850321382714028035,0
850313502342381568,9
850291085976981504,8
850099709431689217,14
850017478730297345,11
849984795446824961,15
849966939820748800,0
849965166372454400,10
849958900434599936,17
849954941078835201,6
849920869610774528,13
849875318768680960,12
849851664366522372,11
849767135647760384,17
849728906542403588,13
849726666570158080,7
849704028955181056,6
849680682372792321,5
849678369339920384,11
849667790034350080,7
849660451109691392,9
849611585953943552,10
849514580556558337,14
849505301191688192,10
849445548553842689,0
849433976808898562,5
849388866721239040,5
849364334832750593,0
849339811890704385,8
849333255564402688,10
849275466322243585,17
849271616181866496,12
849260640648794112,8
849223872360701952,12
849218508282003456,8
849192379353575424,16
849184821599490048,12
849169956285685760,15
849070547497570304,7
849063720588156928,11
849038889880875008,13
849032613784309760,10
848998188593938433,18
848989948510445573,11
848959222746402816,10
848943257644142597,8
848898258277732352,12
848891453103366144,13
848890353566568450,12
848886571269058560,9
848862645931450370,5
848838448463183872,8
848758228578168834,9
848721286238961664,17
848635411345940481,18
848633692935385092,7
848588892467064832,14
848582467275673600,12
848580822001209344,15
848531739685396483,9
848515615463788544,4
848501554185424896,6
848497706603470848,9
848457738279669760,12
848355378433843200,12
848312710630694912,0
848285494102425600,16
848272781905203200,9
848256186457653249,7
848245110928232448,12
848218436538859520,11
848192556454359041,15
848168877590708228,5
848152330512064512,7
848123250571915265,7
848104739241897993,9
848060069040214017,11
848030333694038016,2
848029863860502528,7
847980353704820736,14
847968756605132800,9
847958315011371009,9
847931898139746304,11
847931557474172929,9
847928146984935424,16
847850500124966913,19
847762765032960000,17
847560323708051456,16
847539048365346817,12
847537855350136836,12
847532265357942784,11
847488627240181760,8
847480416382492676,7
847460727119945728,11
847416897075159040,7
847411022566531077,5
847400522516619268,9
847395934879207424,8
847331309877739520,13
847330298744274945,8
847327280061919232,11
847270829700243456,4
847234958154321922,16
847225338153148417,12
847204278934614017,13
847197415237193728,2
847178130628526080,13
847145357507268609,14
847141355491151872,1
847061348165042176,4
847049978367393795,5
846972947906662400,12
846967230155952130,2
846910472498659330,10
846893954809286665,6
846803705697591296,11
846797543266828288,15
846765012106592257,15
846655664894152705,16
846611214427873280,8
846505386882617345,5
846496451467317249,10
846465623907586049,13
846414447497367552,7
846390127144439808,9
846387341606432769,9
846344563618930688,14
846259241513971713,12
846145506673905665,18
846142692534996992,10
846123346232160256,10
846079189950320642,8
846077572421169153,11
846046339980918788,10
846030903176564737,13
846030877977186304,21
845998875462815745,11
845932695821713408,6
845908185340891137,11
845901383383498752,13
845900849708707840,10
845898131111886849,12
845867915194896384,15
845791068302004225,8
845768201627750402,6
845765744621162496,13
845760068352061441,7
845705131756867585,10
845696792742236166,10
845684495017824260,10
845673429806333953,12
845661991154995202,9
845655831790194688,6
845637858325135360,7
845604451301949442,14
845576762922848256,8
845564874587435009,15
845500510652239872,15
845460745781436416,8
845403607658909696,12
845403170465632258,14
845388574786813952,9
845378142114078721,11
845314328366592003,15
845305885354348545,18
845301214057316353,11
845297321294352386,12
845292902326636544,13
845285331154952192,10
845178372468719616,9
845123773330161665,9
845107775256510464,9
845103149971070976,12
845087800550739969,12
845072946808979456,12
845062643761266691,7
845057322032349184,8
844997421423890436,13
844965154009858049,3
844924203136638976,7
844919205459906560,11
844892740278272001,5
844847759052046336,7
844813968627576832,12
844705242021314561,11
844656986260164609,15
844592031930503168,5
844590615186886660,12
844511514698616834,22
844424335376990208,8
844398322341285892,11
844392695313453056,6
844390177711816704,8
844367025736749056,10
844358506627170305,0
844341113641144324,8
844326099895095299,6
844292687830372360,4
844282969732800512,8
844278194899505153,15
844266748140371968,11
844262550393044997,13
844239805085028352,16
844227633651105792,9
844216495722979328,5
844214265481510912,12
844195647368679424,15
