id,TA_formal
858462320779026433,17
858421020331560960,12
858368123753435136,14
858323428260139008,16
858283602626347008,15
858224473597779969,8
858222698367000577,9
858191667739987968,12
858153572571197440,9
858150052782645249,6
858137811039465472,10
858070460814184448,9
858048368974733312,14
858033553468252160,10
858025529429065729,33
857977494275846144,7
857970008269496320,5
857924202548088832,13
857902233232527360,6
857883874663120898,10
857818691471380481,12
857681004047347713,16
857659646663962625,9
857647139127558144,9
857588031318110208,9
857587134491893761,6
857543708828467200,12
857542383784919040,6
857497306077302785,8
857478939240955904,11
857417141758435328,8
857416784953188352,8
857403369601761281,11
857402097976963075,16
857366516186173440,12
857320960063655936,9
857308307165466625,13
857297814954659845,12
857258494491332609,10
857258494168367104,10
857251677904228352,15
857247620938559491,9
857139702989824003,17
857068231936364544,11
857046844819558400,12
856986260447125505,13
856946762598277120,11
856942406339637249,9
856934629001056256,11
856928814936588289,14
856877249412378624,8
856780134199775232,9
856752936017416192,10
856693259988611072,11
856692779883388928,8
856681188328603650,7
856664601269850112,10
856621318791462912,7
856562464070094848,12
856492941795237888,8
856474402157887488,4
856458143248908288,12
856425253240786944,13
856369615852756994,8
856354300582297600,8
856311741474590720,8
856286072996864001,7
856232580991025153,11
856203524631384066,11
856199512880230405,16
856198484495482880,13
856161994419851265,11
856113335783313408,11
856112780960833536,8
856029381562683392,8
856026219007156225,7
856017796370747392,6
855965425993175040,6
855955661787627521,7
855921918540746756,11
855917932014186496,12
855913360151502850,12
855851740389937152,8
855795860751437824,10
855787287145263105,4
855743917584781312,9
855731167114481664,10
855730809969545216,7
855695165150949376,8
855622164359327744,8
855514887983955970,7
855496610448646146,11
855420780628238339,7
855315209161916417,10
855279932997595136,11
855247160689934336,7
855224570713956352,13
855206973264072704,12
855194637828542466,8
855113853948055552,14
855107177224302593,8
855078905975328768,24
855049665410203651,9
855043478895693825,11
855026403783344128,10
855011727418826756,11
854996420268613633,9
854938376671244289,10
854858902630006787,12
854832737949171712,10
854820706730639360,16
854811886390476802,13
854779678363660288,9
854741108252958720,13
854718233869299714,15
854700438788222976,12
854687470805495808,12
854671176152436736,11
854645776672272384,13
854519013061394434,8
854507607637336066,11
854461550744219649,6
854433102659178496,17
854404197437104129,12
854355274588729348,9
854351357716963329,13
854313819396616193,12
854305973355372545,12
854266073658667008,9
854128850493743105,7
854079792341286912,24
854070498405355521,14
854059820055396355,15
854045064816971776,5
853985186261938176,8
853963719394635776,6
853956333175017474,8
853946092416897025,12
853941114558173184,8
853888909222322176,12
853864357209530368,8
853851820007055360,20
853817799126523904,13
853786555370156032,9
853759983879630848,26
853732519107334144,11
853728852157366272,6
853691730075537408,14
853684418304716800,18
853643905732096000,10
853562476159488000,17
853533432827269121,12
853470753425149952,5
853362571017162752,13
853330354828136448,7
853330098308730881,10
853278564728397825,5
853246572741763072,8
853243919533973504,10
853219533888290816,11
853197600362823680,9
853152927199965184,12
853109381487091714,5
853104852708327425,14
853103591183204354,11
853087484896452610,6
853086284948148224,4
853056785166589952,7
853052639952678914,9
853021803572342784,8
853020066748784640,13
853010752311091201,14
853008749736472581,31
852964178717495298,14
852950082194481152,8
852935080930676737,11
852918130598961156,9
852903556562771976,5
852871602882715649,9
852858984050675713,12
852836331231236096,8
852790547190210561,10
852786843695194114,11
852778463182241792,3
852759743495938048,7
852751580432482305,10
852750021644517376,15
852695448284483584,19
852682839103590400,7
852669253014761473,12
852656449549463552,7
852625617434685440,15
852537721985937409,28
852534909407309824,9
852491578958647297,10
852453423790346241,6
852452049686024192,5
852428663312310272,17
852420105346719744,8
852416830459318272,8
852397952844926976,11
852385924440784896,13
852364699941449728,6
852364474636005376,12
852329500796997632,12
852320475778863105,10
852219838651039747,5
852218494280241153,7
852215995653423104,12
852212472186646530,6
852189739298029568,9
852177112282918912,13
