id,PT_pos_feat_NNP,PT_pos_feat_IN,PT_pos_feat_NN,PT_pos_feat_PRP,PT_pos_feat_WP$,PT_pos_feat_WRB,PT_pos_feat_:,PT_pos_feat_.,PT_pos_feat_WP,PT_pos_feat_'',PT_pos_feat_RBS,"PT_pos_feat_,",PT_pos_feat_NNPS,PT_pos_feat_TO,PT_pos_feat_DT,PT_pos_feat_(,PT_pos_feat_SYM,PT_pos_feat_VBZ,PT_pos_feat_POS,PT_pos_feat_VBN,PT_pos_feat_NNS,PT_pos_feat_RB,PT_pos_feat_--,PT_pos_feat_VB
858462320779026433,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0
858421020331560960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
858368123753435136,5,1,2,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1
858323428260139008,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
858283602626347008,2,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
858224473597779969,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858222698367000577,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
858191667739987968,2,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
858153572571197440,1,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
858150052782645249,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
858137811039465472,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
858070460814184448,0,1,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,2,0,0,4
858048368974733312,2,2,4,1,0,0,1,1,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,1
858033553468252160,2,1,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,3,2,0,0,0
858025529429065729,2,0,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,3,0,2
857977494275846144,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
857970008269496320,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
857924202548088832,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
857902233232527360,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
857883874663120898,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
857818691471380481,0,2,6,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,1,0,2
857681004047347713,1,1,5,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,1,1,0,0,0
857659646663962625,3,2,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
857647139127558144,1,0,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
857588031318110208,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0
857587134491893761,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
857543708828467200,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,3,1,0,0
857542383784919040,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
857497306077302785,2,3,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0
857478939240955904,2,1,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0
857417141758435328,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
857416784953188352,0,2,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,1
857403369601761281,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
857402097976963075,2,0,3,2,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1
857366516186173440,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1
857320960063655936,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0
857308307165466625,0,1,7,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1
857297814954659845,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
857258494491332609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
857258494168367104,2,1,3,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0
857251677904228352,3,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,1
857247620938559491,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
857139702989824003,0,3,5,1,0,0,0,1,0,1,0,0,0,2,3,0,0,1,0,0,1,0,0,3
857068231936364544,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
857046844819558400,1,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,1,0,0,1
856986260447125505,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
856946762598277120,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1
856942406339637249,2,3,4,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
856934629001056256,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
856928814936588289,0,0,6,0,0,0,1,0,0,0,0,0,0,1,4,0,0,1,0,0,0,1,0,1
856877249412378624,0,2,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0
856780134199775232,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
856752936017416192,1,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
856693259988611072,5,3,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0
856692779883388928,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0
856681188328603650,5,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
856664601269850112,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0
856621318791462912,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
856562464070094848,1,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
856492941795237888,2,0,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
856474402157887488,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
856458143248908288,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0
856425253240786944,3,3,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1
856369615852756994,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
856354300582297600,2,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0
856311741474590720,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
856286072996864001,4,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3
856232580991025153,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
856203524631384066,3,1,3,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,2
856199512880230405,3,2,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,1
856198484495482880,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
856161994419851265,0,1,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,1
856113335783313408,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,2
856112780960833536,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
856029381562683392,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
856026219007156225,2,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1
856017796370747392,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
855965425993175040,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
855955661787627521,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
855921918540746756,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
855917932014186496,0,2,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,2
855913360151502850,5,3,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
