id,TA_pos_feat_NNP,TA_pos_feat_DT,TA_pos_feat_PRP,TA_pos_feat_(,TA_pos_feat_CD,TA_pos_feat_WRB,TA_pos_feat_WP,TA_pos_feat_IN,TA_pos_feat_MD,TA_pos_feat_VBZ,TA_pos_feat_VBD,TA_pos_feat_$,TA_pos_feat_JJ,TA_pos_feat_'',TA_pos_feat_VBP,TA_pos_feat_PRP$,TA_pos_feat_EX,TA_pos_feat_NNPS,TA_pos_feat_``,TA_pos_feat_FW,TA_pos_feat_TO
858462320779026433,9.09,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,4.55,0.0,0.0,13.64,0.0,9.09,0.0,0.0,0.0,0.0,0.0,4.55
858421020331560960,23.08,0.0,0.0,0.0,0.0,0.0,0.0,23.08,0.0,7.69,0.0,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
858368123753435136,33.33,11.11,0.0,0.0,5.56,0.0,0.0,5.56,5.56,0.0,0.0,0.0,5.56,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
858323428260139008,0.0,22.22,0.0,0.0,0.0,0.0,5.56,11.11,0.0,5.56,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0
858283602626347008,11.76,5.88,0.0,0.0,0.0,0.0,0.0,17.65,0.0,5.88,0.0,0.0,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
858224473597779969,50.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
858222698367000577,15.38,7.69,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,23.08,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0
858191667739987968,14.29,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,7.14,0.0,0.0,0.0,0.0,14.29
858153572571197440,0.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11
858150052782645249,22.22,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0
