id,TA_formal,TA_informal
608310377143799810,15,2
609297109095972864,7,1
609504474621612032,11,0
609748367049105409,10,1
608688782821453825,6,0
609551038983475201,10,0
609447408955719681,7,3
609027430624288769,10,1
608229011572068352,8,3
609046214554755073,11,3
609738211183751168,8,2
609762671554990080,11,1
608980783924178945,11,1
609998126737395712,19,4
608926452596273152,9,1
609300383358418945,4,3
608875876474851328,12,1
610173844561788928,5,4
609095030926635011,15,1
608576531456249856,24,2
609631563597389824,7,0
609372816568360960,7,2
610103181578764291,10,1
609425861561962496,13,0
608658774769958912,8,2
609396415681445888,6,1
609337131698229249,4,1
610152342521028609,8,3
608315579913629696,14,0
609417622485139456,8,1
608347082844438530,7,0
609066076282867712,10,1
609507025555357696,11,0
609141582290292736,8,0
607867811352969216,12,2
609535458863882240,8,0
608953025017839616,9,2
609518871779889152,12,0
610065075462930432,7,4
609890265306910720,7,4
607974158765400065,10,1
609680396956094464,7,1
609648479976222721,7,2
610149872059195392,12,7
609045959062896642,11,0
608390359023026178,1,0
609865605856899072,7,1
609204522263650304,8,1
608294260027346944,9,4
609780343680409600,11,1
609220830501933056,1,2
610025386852810752,9,1
608838825918332930,273,31
609847126097530880,12,4
609722272824356865,9,1
609520823209168896,10,1
607968621805989888,5,1
610035233384218624,13,1
609426219306745856,9,1
608831302490415106,269,31
609581937548615680,8,1
609204644221423616,21,1
608004081425227776,7,0
609246844749803520,6,0
608544822383792128,5,3
608037914086404096,7,1
609486085987680256,9,1
608739280559722498,11,0
608749345731674112,9,1
610171029575610369,7,0
608407227473502208,7,3
608203075459891200,10,1
609008121428721665,9,2
607951390724341760,7,5
609854038688038912,7,0
609120651895558144,16,2
609120937263300608,9,1
608434922840162305,277,35
608793539556708352,271,29
608461361748828162,8,1
608734414546284544,4,0
608071418585214976,3,3
607836751726563328,9,1
609138853375406080,9,0
610037731935285248,3,1
608272113741533184,12,0
608932641207934976,8,3
609186132375416832,255,20
609247701411217408,7,2
608347443823017987,19,2
608856211795156993,7,2
610035478432067584,7,0
608203134087921664,7,2
609443836037873664,11,0
609342424889081856,8,0
609326598358220800,17,1
608170448807952386,9,0
607869505004400640,18,2
607994015955316736,6,2
609223895531540481,9,3
609417423809302528,15,0
608502622983720960,7,3
609276653928361984,0,1
609517182532362241,10,2
609716416887951360,7,0
608291519347486721,9,0
608492412416237568,1,2
608807876308676609,15,5
609973847996108800,7,3
608665805178339328,8,3
610039839816294400,11,2
610052516194217985,11,2
608680091283881986,9,2
609868855863844864,11,2
609451868633198592,6,0
610040226178859009,11,1
609348103389487104,11,0
609557666138996736,9,2
609329546215591937,8,4
608108610267324417,14,0
609744129879191553,7,3
607758528758075392,1,2
609019270438223872,4,4
609007549094985728,8,3
608568480628142080,5,1
609005648727175170,10,1
608692276458614784,7,3
610167649172103168,5,2
609122496168755201,7,4
609424363360768001,9,1
609375205073551361,6,0
607865098078720000,8,3
608638056715964416,11,1
609769482513420289,8,2
608332843408687104,8,0
609476770509815808,10,0
609325546011385859,15,0
608750006674165760,11,0
607985528034557952,7,0
608596870974304256,13,2
608584227811172353,6,3
609108031687630848,14,0
608674493456748545,11,0
608881276049829889,8,1
608966172122476544,8,1
608189643855654912,6,0
609694637964566528,18,1
610063063685795840,12,3
609331127938105344,11,0
608358416600334337,8,2
609470000785682432,5,2
608641362414678016,11,3
610066209795670016,7,1
609127194648973312,8,3
609152913865355264,11,1
609307942270169088,19,3
608886156516655104,10,0
609719400283959296,8,2
608551961454063616,13,1
608563275673006080,10,0
610114738077495296,12,5
608986659099697152,5,3
608318633996099585,8,2
609414360923025408,31,0
610083910530281472,8,5
609310835962454016,4,3
610038523580796928,15,4
610192514591490048,13,3
609087596506021889,5,3
608925659633733632,8,0
608324453999771649,10,1
608315733286731776,12,1
609959736671358977,15,1
609222620777570304,6,0
610103164176433152,14,3
608365725540085763,11,1
607700276707917824,11,2
608095177547202561,275,31
608078819279441920,5,2
609498561500315648,7,3
609990980691980288,4,0
609959724553867264,10,0
609757375252201472,9,2
609494609065025536,9,1
609417394759565312,11,1
609767455142113280,19,1
608554075412520961,8,1
609521850167750656,11,1
608343274714210304,5,2
