numCharPostTitle,numCharArticleTitle,numCharArticleDescr,numCharArticleKeywords,numCharArticleCaption,numCharArticleParagraph,avgSimilarityPostTitle,capitalPostTitle,avgWordLenPostTitle,avgWordLenArticleTitle,numDeterminers
75.0,103.0,184.0,78.0,2794.0,4081.0,0.03536268062229619,3.0,5.0,5.285714285714286,1.0
98.0,54.0,166.0,129.0,2074.0,430.0,0.0694377465398091,6.0,5.909090909090909,6.428571428571429,0.0
89.0,66.0,153.0,0.0,436.0,4082.0,0.02979641707714729,3.0,6.1,5.5,0.0
62.0,62.0,114.0,132.0,1042.0,10660.0,0.08167129298906868,1.0,5.111111111111111,5.111111111111111,1.0
91.0,34.0,125.0,70.0,211.0,5734.0,0.061118324961010134,2.0,5.454545454545454,5.75,0.0
64.0,64.0,0.0,0.0,0.0,3620.0,0.010178741053011437,0.0,4.75,4.75,0.0
92.0,76.0,154.0,66.0,0.0,5853.0,0.0185294589415881,1.0,5.25,6.4,1.0
67.0,67.0,171.0,0.0,0.0,753.0,0.02923001434555102,1.0,6.125,6.125,0.0
84.0,64.0,140.0,161.0,956.0,321.0,0.02396726489695405,3.0,5.083333333333333,5.0,2.0
80.0,79.0,157.0,0.0,167.0,4289.0,0.1735343397382769,1.0,5.0,5.0,0.0
71.0,71.0,134.0,47.0,14.0,2324.0,0.025832052552922,3.0,6.1,6.1,0.0
68.0,73.0,160.0,43.0,7.0,2157.0,0.12997280116301402,1.0,4.666666666666667,5.5,1.0
77.0,77.0,36.0,108.0,0.0,6868.0,0.03577816195648719,1.0,6.875,6.875,2.0
86.0,153.0,187.0,21.0,87.0,4689.0,0.005558754864340221,0.0,6.1,6.647058823529412,0.0
67.0,66.0,76.0,86.0,144.0,3297.0,0.007953866453286409,1.0,7.142857142857143,7.142857142857143,0.0
67.0,54.0,106.0,264.0,1832.0,342.0,0.02672759707431762,0.0,6.333333333333333,9.2,0.0
139.0,70.0,100.0,19.0,161.0,4311.0,0.016933990237064985,7.0,5.722222222222222,4.545454545454546,1.0
67.0,67.0,128.0,55.0,15.0,4562.0,0.014627142462521845,0.0,6.5,6.5,0.0
114.0,87.0,99.0,19.0,59.0,2011.0,0.0184320914030631,7.0,4.933333333333334,5.2727272727272725,2.0
69.0,141.0,192.0,94.0,2119.0,1729.0,0.03408201593910671,1.0,5.125,5.647058823529412,0.0
48.0,48.0,129.0,58.0,245.0,7425.0,0.008129590798184535,1.0,7.2,7.2,2.0
97.0,56.0,133.0,0.0,45.0,1513.0,0.10712555610187739,8.0,5.6923076923076925,4.666666666666667,0.0
58.0,58.0,110.0,87.0,0.0,874.0,0.01916543793292923,0.0,5.428571428571429,5.428571428571429,1.0
87.0,75.0,81.0,45.0,0.0,6155.0,0.027410240706908204,6.0,5.6,4.545454545454546,2.0
45.0,57.0,127.0,0.0,0.0,509.0,0.053172705798336654,1.0,5.0,5.0,0.0
80.0,52.0,43.0,0.0,0.0,487.0,0.012310920724449064,5.0,7.0,6.0,0.0
55.0,33.0,91.0,70.0,112549.0,3549.0,0.0,5.0,6.142857142857143,8.0,0.0
63.0,68.0,147.0,242.0,233.0,5410.0,0.06101722081606655,0.0,5.666666666666667,6.25,0.0
68.0,64.0,0.0,0.0,0.0,1223.0,0.054580848687054824,1.0,4.777777777777778,4.625,2.0
66.0,63.0,173.0,191.0,295.0,7628.0,0.04607784163203336,7.0,5.888888888888889,5.888888888888889,0.0
49.0,38.0,129.0,0.0,816.0,2957.0,0.026019619602730935,8.0,5.666666666666667,6.75,1.0
53.0,54.0,0.0,0.0,346.0,534.0,0.03383297242298515,0.0,4.857142857142857,4.625,1.0
68.0,47.0,0.0,0.0,376.0,81.0,0.01748908149410655,6.0,5.142857142857143,3.8,0.0
